file,filename,num_tracks,total_notes,programs,tempos,time_signatures,key_signatures,duration_secs
..\..\data\kitten.mid,kitten.mid,2,3062,{0},199.5802162784277,4/4,F,669.1166666666667
..\..\data\kkkwalk.mid,kkkwalk.mid,1,788,{105},85.00004250002125,2/4,E,221.00833333333333
..\..\data\knicknok.mid,knicknok.mid,2,3909,{0},92.8100086313308,2/4,C,436.0
..\..\data\larag.mid,larag.mid,2,2659,{0},82.00003553334874,2/4,C,363.7583333333333
..\..\data\leola.mid,leola.mid,2,2862,{0},78.18995467588961,2/4,Ab,298.01666666666665
..\..\data\levrevls.mid,levrevls.mid,2,2296,{0},190.0002850004275,4/4,G,761.025
..\..\data\lilyquen.mid,lilyquen.mid,2,2740,{0},88.00002346667293,2/4,C,318.01666666666665
..\..\data\lilyrag.mid,lilyrag.mid,2,1781,{0},85.00004250002125,2/4,Db,214.00833333333333
..\..\data\liontamr.mid,liontamr.mid,2,3745,{0},97.8299682541753,2/4,G,475.95
..\..\data\littlebb.mid,littlebb.mid,3,1560,"{0, 73}",89.9999550000225,4/4,Bb,236.00833333333333
..\..\data\livewire.mid,livewire.mid,2,1788,{0},96.99995311668933,2/4,F,231.50833333333333
..\..\data\louisana.mid,louisana.mid,2,2542,{0},102.0000510000255,2/4,D,558.0166666666667
..\..\data\loving.mid,loving.mid,2,1471,{0},173.99979120025057,4/4,C,282.0083333333333
..\..\data\lovnbabe.mid,lovnbabe.mid,3,1999,"{57, 58, 52}",85.00004250002125,2/4,G,212.00833333333333
..\..\data\magnetic.mid,magnetic.mid,2,3045,{0},176.00004693334586,4/4,Bb,764.0083333333333
..\..\data\majestic.mid,majestic.mid,2,2818,{0},162.000162000162,4/4,Eb,567.0083333333333
..\..\data\mandysbs.mid,mandysbs.mid,2,2231,{0},156.000156000156,4/4,G,566.0083333333333
..\..\data\Maple_Leaf_Rag_[1899]_composed_by_Scott_Joplin_www.ragtimemusic.com.mid,Maple_Leaf_Rag_[1899]_composed_by_Scott_Joplin_www.ragtimemusic.com.mid,2,2567,{0},97.9999836666694,2/4,Ab,294.0083333333333
..\..\data\marchtga.mid,marchtga.mid,2,1722,{0},140.53003243901583,4/4,F,358.3333333333333
..\..\data\martbaby.mid,martbaby.mid,2,1643,{0},167.99993280002687,4/4,C,538.0083333333333
..\..\data\medicrag.mid,medicrag.mid,2,2631,{0},82.00003553334874,2/4,Ab,287.0083333333333
..\..\data\memphisb.mid,memphisb.mid,2,1877,{0},64.0,2/4,F,228.00833333333333
..\..\data\missouri.mid,missouri.mid,2,1910,{0},101.00006901671382,2/4,C,263.5083333333333
..\..\data\missrag.mid,missrag.mid,2,2799,{0},104.00001386666851,2/4,F,398.01666666666665
..\..\data\mmajstic.mid,mmajstic.mid,2,2170,{0},190.0002850004275,6/8,G,499.5083333333333
..\..\data\mockingb.mid,mockingb.mid,2,2114,{0},115.00002875000719,2/4,F,360.01666666666665
..\..\data\modesty.mid,modesty.mid,2,2314,{0},73.99998273333736,2/4,G,267.0083333333333
..\..\data\momule.mid,momule.mid,2,2689,{0},112.00005973336519,2/4,C,588.0083333333333
..\..\data\moonshne.mid,moonshne.mid,2,2147,{0},80.0,2/4,C,250.00833333333333
..\..\data\mooserag.mid,mooserag.mid,2,2074,{0},109.99990833340972,2/4,C,295.34166666666664
..\..\data\motorbus.mid,motorbus.mid,2,2675,{0},80.19996524668173,2/4,C,198.01666666666668
..\..\data\movierag.mid,movierag.mid,2,2075,{0},191.96007230496056,4/4,C,604.0166666666667
..\..\data\mplfsong.mid,mplfsong.mid,5,1987,"{73, 61, 62}",75.99996960001216,1/4,Eb,204.00833333333333
..\..\data\mshdpota.mid,mshdpota.mid,2,2564,{0},89.9999550000225,2/4,C,284.0083333333333
..\..\data\musicbox.mid,musicbox.mid,2,1986,{0},157.999931533363,4/4,F,488.0083333333333
..\..\data\muttjeff.mid,muttjeff.mid,2,3137,{0},85.98994490910863,2/4,C,299.55
